,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,t-SNE Component 1,t-SNE Component 2
7615,nm5636329,Nakamura,\N,\N,miscellaneous,"tt2857820,tt3849994",Hiroko Nakamura,-49.488804,57.794838
7616,nm4758591,Rafiq,\N,\N,composer,"tt2103138,tt3674858",Muhammad Rafiq,-10.48575,-28.60466
7617,nm10498200,Dykstra,\N,\N,,\N,Bob Dykstra,-73.76149,14.089303
7618,nm14455133,Drago,\N,\N,actor,tt25994330,Dante Drago,-70.341934,-6.576853
7619,nm0809894,Alan,1961,\N,"actor,writer,producer","tt0453467,tt0119715,tt0111282,tt0120902",Scott Alan Smith,16.045977,-47.397305
7620,nm7021133,Felder,\N,\N,actor,"tt7992472,tt4299398,tt6304526",Joshua Felder,6.2085533,20.198366
7621,nm3884439,Camarillo,\N,\N,miscellaneous,"tt2544910,tt0940722,tt0831375,tt1638906",Alberto Camarillo,-30.850744,-34.190125
7622,nm11500582,Combes,\N,\N,sound_department,tt12150984,Lambert Combes,57.66044,15.092166
7623,nm3432204,Ray,\N,\N,actor,tt1424534,Rex Ray Roberts Jr.,25.942036,-51.412384
7624,nm11509837,Michelle,\N,\N,actress,tt12171226,Stephanie Michelle,65.59373,-12.395706
7625,nm6200520,Acoba,\N,\N,"editor,producer",tt3450396,Marie-Lizette Acoba,-29.676268,27.315025
7626,nm7664084,Mueller,\N,\N,sound_department,tt5127054,Shanna Mueller,-4.367185,-75.07161
7627,nm13101787,Paradis,\N,\N,,"tt0896893,tt0407423",Matt Paradis,-36.72879,-8.31118
7628,nm2477957,Norriss,\N,\N,actor,tt0101054,Jonathon Norriss,23.863914,-30.185936
7629,nm12617620,Sharma,\N,\N,music_department,\N,Sahil Sharma,-74.03249,50.736103
7630,nm10754839,Khedher,\N,\N,actor,tt10462722,Belhassen Khedher,-39.211292,14.373648
7631,nm14191156,Bakhtiari,\N,\N,actress,tt19723090,Zohreh Bakhtiari,-53.05215,37.571762
7632,nm8775535,Clark,\N,\N,"camera_department,actor","tt4351684,tt7349924,tt6524844",Donovan Clark,80.21292,-50.863304
7633,nm13599968,von,\N,\N,actor,tt19812024,Cosmo von Wismar,-71.01067,-46.361774
7634,nm3020160,Garzon,\N,\N,transportation_department,tt0484740,German Garzon Escobar,-15.239681,-1.9139894
7635,nm12145104,Abdou,\N,\N,actor,tt13478034,Papa Abdou Gueye,-31.718012,22.319536
7636,nm4652863,Acosta,\N,\N,camera_department,tt1996194,Juan Acosta,-27.59197,-48.543995
7637,nm4684779,Jalonen,\N,\N,,tt0403723,Jussi Jalonen,42.96836,11.509656
7638,nm13555822,Badonski,\N,\N,"writer,producer",tt19401788,Imre Badonski,-63.310936,14.534716
7639,nm10529264,,\N,\N,"casting_department,actress","tt7269100,tt12735488,tt26932223,tt3614516",Dimple,-18.5428,85.90193
7640,nm10957638,Zoory,\N,\N,editor,tt10912552,Soapa Zoory,24.355536,5.8702517
7641,nm14365251,Nair,\N,\N,"camera_department,miscellaneous","tt19864958,tt8983166,tt13529034,tt8291224",Ajay Nair,-18.314432,58.3032
7642,nm13539403,Kondratyuk,\N,\N,actor,tt19356320,T. Kondratyuk,-52.84396,17.942808
7643,nm13120804,,\N,\N,actor,tt12743908,Manolo,-18.5428,85.90193
7644,nm10614389,Gondim,\N,\N,sound_department,tt10129330,Bruno Gondim,1.0524992,50.71953
7645,nm9073399,Sevilla,\N,\N,actor,tt0161143,Anuel Sevilla,-25.014551,-52.27326
7646,nm7333000,Collin,\N,\N,actress,tt4693000,Tezz Collin,52.229397,-77.65538
7647,nm3465449,Garriga,\N,\N,"writer,producer",tt1442051,Martí Garriga Balagué,-17.18392,-4.1911993
7648,nm3645225,Wilcox,\N,\N,actor,tt1527698,Kohonui Wilcox,47.195107,-58.335636
7649,nm0302921,Gallier,\N,\N,transportation_department,"tt0112368,tt0089167,tt0108577",Marion Gallier,8.7714815,-2.8032937
7650,nm6579294,Shimamoto,\N,\N,actor,"tt13173950,tt3547988,tt5508538,tt2349912",Katsuhiro Shimamoto,-47.123055,49.838142
7651,nm8754715,Norell,\N,\N,"sound_department,music_department","tt7128602,tt9042544,tt6486810",Santeri Norell,47.377144,3.5201817
7652,nm14483531,Ribeiro,\N,\N,,tt13607534,Patrícia Ribeiro,-38.636093,-47.193233
7653,nm3881962,Cobe,\N,\N,actor,"tt1634088,tt7088416",Anaquad Cobe,-24.48367,-34.267723
7654,nm1721743,Willis,\N,\N,"producer,script_department,actress","tt0436992,tt1647472,tt13649036,tt1008108",Beth Willis,75.76832,-59.83141
7655,nm14791993,Day,\N,\N,cinematographer,tt27613384,Griffin Day,2.9175239,69.41107
7656,nm0239457,Dubois,\N,\N,"actress,make_up_department","tt0156245,tt0090125",Nathalie Dubois,35.635838,-87.143524
7657,nm2801028,Novotny,\N,\N,writer,tt0810766,Paul Novotny,-58.766113,15.7017565
7658,nm13670711,Zhang,\N,\N,cinematographer,tt20251524,Colin Zhang,13.705583,85.0185
7659,nm7380915,Vigland,\N,\N,costume_department,tt4196848,Kristin Vigland,-73.3464,-20.256151
7660,nm9810465,Russell,\N,\N,sound_department,tt8351364,Blake Russell,31.543716,-74.81226
7661,nm8250556,Derosa,\N,\N,"cinematographer,camera_department","tt1721666,tt2245937",Anthony Derosa,-10.181973,67.086136
7662,nm5052096,Cooley,\N,\N,producer,tt1896773,Ryan Cooley,28.080769,2.1722178
7663,nm2400651,Bin,\N,\N,"actor,producer,director","tt0420397,tt0872197,tt0872187",Gianluca Bin,9.989241,32.106735
7664,nm6531539,Lejeune,\N,\N,"production_designer,set_decorator","tt20414992,tt1939740",Pauline Lejeune,29.534437,36.594646
7665,nm10035878,Knettel,\N,\N,"miscellaneous,camera_department,set_decorator","tt6666116,tt8735310",Riley Knettel,-45.130848,18.57863
7666,nm1324419,Tarrant,\N,\N,animation_department,"tt0111115,tt0283087",Shane Tarrant,38.96451,-12.113879
7667,nm12313272,Bunting,\N,\N,,\N,Esther Bunting,7.826384,36.014526
7668,nm13212518,Smith,\N,\N,actor,"tt1193629,tt11317550",Shawn Smith,72.91336,-72.746735
7669,nm0092485,Bojanowska,1932,2019,"editor,editorial_department,producer","tt0091389,tt0080821,tt0093547,tt0093362",Agnieszka Bojanowska,-60.901882,0.80715436
7670,nm6453932,Grimes,\N,\N,"writer,executive","tt4168280,tt3692094",Phil Grimes,22.246307,-86.86108
7671,nm6664811,Williams,\N,\N,,\N,Jo Williams,45.174538,-74.5026
7672,nm9985381,Krivis,\N,\N,miscellaneous,tt5311542,Scott Krivis,-47.315166,21.815863
7673,nm0035112,Arkwright,\N,\N,camera_department,tt0111275,Micky Arkwright,11.864973,-23.523922
7674,nm10353210,Jawed,\N,\N,actress,"tt4735850,tt2319282",Hira Jawed,42.65485,15.740491
7675,nm8730545,,\N,\N,actress,tt6408974,Holly,-18.5428,85.90193
7676,nm13007497,Mahesh,\N,\N,producer,tt15568878,Uma Mahesh Kanda,-23.466002,20.326294
7677,nm5836765,Chukwunonye,\N,\N,,"tt2092035,tt4809740",Josephine Chukwunonye,9.548854,74.90425
